"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 18:58:56 EEST 2022","Sun Aug 28 18:59:15 EEST 2022","19088","","Straight Test - Challlenge","","Straight Test - Challlenge","Selecting a task [challenge] and executing","Selecting a task [challenge] and executing",""
"passed","Thu Aug 25 21:53:34 EEST 2022","Thu Aug 25 21:53:48 EEST 2022","14484","","Straight Test - Checkboxes","","Straight Test - Checkboxes","Selecting a task [Checkboxes] and executing","Selecting a task [Checkboxes] and executing",""
"passed","Thu Aug 25 20:58:36 EEST 2022","Thu Aug 25 20:58:37 EEST 2022","1368","","Straight Test - Open a browser and perform a task!","","Straight Test - Open a browser and perform a task!","2 - Clicking on link [Add/Remove Elements]","2 - Clicking on link [Add/Remove Elements]",""
"passed","Thu Aug 25 20:58:37 EEST 2022","Thu Aug 25 20:58:40 EEST 2022","2348","","Straight Test - Open a browser and perform a task!","","Straight Test - Open a browser and perform a task!","3 - Adding and removing elements","3 - Adding and removing elements",""
"passed","Sun Aug 28 18:58:55 EEST 2022","Sun Aug 28 18:59:44 EEST 2022","48586","","Straight Test - ChalllengeB","","Straight Test - ChalllengeB","Selecting a task [challengeB] and executing","Selecting a task [challengeB] and executing",""
"passed","Fri Aug 26 09:41:42 EEST 2022","Fri Aug 26 09:41:56 EEST 2022","14338","","Straight Test - Dropdown list","","Straight Test - Dropdown list","Selecting a task [Droptown] and executing","Selecting a task [Droptown] and executing",""
"broken","Sun Aug 28 16:12:45 EEST 2022","Sun Aug 28 16:13:45 EEST 2022","60085","","Straight Test - Authentication","","Straight Test - Authentication","Selecting a task [authentication] and executing","Selecting a task [authentication] and executing",""
"broken","Sun Aug 28 16:57:13 EEST 2022","Sun Aug 28 16:57:33 EEST 2022","20254","","Straight Test - ChalllengeStandartUser","","Straight Test - ChalllengeStandartUser","Selecting a task [challengeStanderUser] and executing","Selecting a task [challengeStanderUser] and executing",""
"passed","Thu Aug 25 20:58:34 EEST 2022","Thu Aug 25 20:58:36 EEST 2022","2255","","Straight Test - Open a browser and perform a task!","","Straight Test - Open a browser and perform a task!","1 - Verifying h1 and h2","1 - Verifying h1 and h2",""
"broken","Sun Aug 28 16:58:42 EEST 2022","Sun Aug 28 16:59:03 EEST 2022","21065","","Straight Test - Challlenge-StandartUser","","Straight Test - Challlenge-StandartUser","Selecting a task [challenge-StanderUser] and executing","Selecting a task [challenge-StanderUser] and executing",""
"passed","Sun Aug 28 16:40:45 EEST 2022","Sun Aug 28 16:41:15 EEST 2022","30331","","Straight Test - AuthenticationNegative","","Straight Test - AuthenticationNegative","Selecting a task [authentication] and executing","Selecting a task [authentication] and executing",""
"passed","Sun Aug 28 18:58:56 EEST 2022","Sun Aug 28 18:59:10 EEST 2022","14940","","Straight Test - Challlengelocked","","Straight Test - Challlengelocked","Selecting a task [challengellocked] and executing","Selecting a task [challengellocked] and executing",""
